"blife_id","blife_binomial","blife_order","blife_family","blife_iucn_status","ref_binomial","ref_order","ref_family","ref_id","method"
22724488,"Synallaxis cinerea","Passeriformes","Furnariidae","NT","Synallaxis cinerea","Passeriformes","Furnariidae",22724488,"Match by ID"
22724495,"Phylloscartes beckeri","Passeriformes","Tyrannidae","EN","Phylloscartes beckeri","Passeriformes","Tyrannidae",22724495,"Match by ID"
22724499,"Nyctiphrynus rosenbergi","Caprimulgiformes","Caprimulgidae","LC","Nyctiphrynus rosenbergi","Caprimulgiformes","Caprimulgidae",22724499,"Match by ID"
22724505,"Hylopezus macularius","Passeriformes","Grallariidae","LC","Hylopezus macularius","Passeriformes","Grallariidae",22724505,"Match by ID"
22724510,"Acrobatornis fonsecai","Passeriformes","Furnariidae","VU","Acrobatornis fonsecai","Passeriformes","Furnariidae",22724510,"Match by ID"
22724513,"Ara tricolor","Psittaciformes","Psittacidae","EX","Ara tricolor","Psittaciformes","Psittacidae",22724513,"Match by ID"
22724518,"Aethopyga linaraborae","Passeriformes","Nectariniidae","NT","Aethopyga linaraborae","Passeriformes","Nectariniidae",22724518,"Match by ID"
22724523,"Phapitreron brunneiceps","Columbiformes","Columbidae","VU","Phapitreron brunneiceps","Columbiformes","Columbidae",22724523,"Match by ID"
22724537,"Calicalicus rufocarpalis","Passeriformes","Vangidae","VU","Calicalicus rufocarpalis","Passeriformes","Vangidae",22724537,"Match by ID"
22724542,"Nesillas lantzii","Passeriformes","Acrocephalidae","LC","Nesillas lantzii","Passeriformes","Acrocephalidae",22724542,"Match by ID"
22724553,"Cyanoramphus forbesi","Psittaciformes","Psittacidae","VU","Cyanoramphus forbesi","Psittaciformes","Psittacidae",22724553,"Match by ID"
22724562,"Cyanoramphus malherbi","Psittaciformes","Psittacidae","CR","Cyanoramphus malherbi","Psittaciformes","Psittacidae",22724562,"Match by ID"
22724568,"Coracornis sanghirensis","Passeriformes","Pachycephalidae","CR","Coracornis sanghirensis","Passeriformes","Pachycephalidae",22724568,"Match by ID"
22724580,"Anas nesiotis","Anseriformes","Anatidae","VU","Anas nesiotis","Anseriformes","Anatidae",22724580,"Match by ID"
22724585,"Otus moheliensis","Strigiformes","Strigidae","EN","Otus moheliensis","Strigiformes","Strigidae",22724585,"Match by ID"
22724592,"Cranioleuca henricae","Passeriformes","Furnariidae","VU","Cranioleuca henricae","Passeriformes","Furnariidae",22724592,"Match by ID"
22724596,"Atlapetes melanopsis","Passeriformes","Passerellidae","NT","Atlapetes melanopsis","Passeriformes","Passerellidae",22724596,"Match by ID"
22724604,"Glaucidium nubicola","Strigiformes","Strigidae","VU","Glaucidium nubicola","Strigiformes","Strigidae",22724604,"Match by ID"
22724610,"Herpsilochmus gentryi","Passeriformes","Thamnophilidae","LC","Herpsilochmus gentryi","Passeriformes","Thamnophilidae",22724610,"Match by ID"
22724613,"Phylloscartes parkeri","Passeriformes","Tyrannidae","LC","Phylloscartes parkeri","Passeriformes","Tyrannidae",22724613,"Match by ID"
22724618,"Cercomacroides parkeri","Passeriformes","Thamnophilidae","LC","Cercomacroides parkeri","Passeriformes","Thamnophilidae",22724618,"Match by ID"
22724623,"Chlorostilbon olivaresi","Caprimulgiformes","Trochilidae","LC","Chlorostilbon olivaresi","Caprimulgiformes","Trochilidae",22724623,"Match by ID"
22724628,"Grallaria ridgelyi","Passeriformes","Grallariidae","EN","Grallaria ridgelyi","Passeriformes","Grallariidae",22724628,"Match by ID"
22724652,"Pteroglossus erythropygius","Piciformes","Ramphastidae","LC","Pteroglossus erythropygius","Piciformes","Ramphastidae",22724652,"Match by ID"
22724659,"Leptodon forbesi","Accipitriformes","Accipitridae","EN","Leptodon forbesi","Accipitriformes","Accipitridae",22724659,"Match by ID"
22724664,"Megascops seductus","Strigiformes","Strigidae","LC","Megascops seductus","Strigiformes","Strigidae",22724664,"Match by ID"
22724673,"Xanthopsar flavus","Passeriformes","Icteridae","EN","Xanthopsar flavus","Passeriformes","Icteridae",22724673,"Match by ID"
22724683,"Sylviorthorhynchus yanacensis","Passeriformes","Furnariidae","LC","Sylviorthorhynchus yanacensis","Passeriformes","Furnariidae",22724683,"Match by ID"
22724690,"Phylloscartes sylviolus","Passeriformes","Tyrannidae","LC","Phylloscartes sylviolus","Passeriformes","Tyrannidae",22724690,"Match by ID"
22724696,"Pogonotriccus eximius","Passeriformes","Tyrannidae","NT","Pogonotriccus eximius","Passeriformes","Tyrannidae",22724696,"Match by ID"
22724703,"Guaruba guarouba","Psittaciformes","Psittacidae","VU","Guaruba guarouba","Psittaciformes","Psittacidae",22724703,"Match by ID"
22724718,"Asthenes usheri","Passeriformes","Furnariidae","NT","Asthenes usheri","Passeriformes","Furnariidae",22724718,"Match by ID"
22724722,"Molothrus armenti","Passeriformes","Icteridae","NT","Molothrus armenti","Passeriformes","Icteridae",22724722,"Match by ID"
22724744,"Sarkidiornis sylvicola","Anseriformes","Anatidae","LC","Sarkidiornis sylvicola","Anseriformes","Anatidae",22724744,"Match by ID"
22724748,"Cyrtonyx sallei","Galliformes","Odontophoridae","NT","Cyrtonyx sallei","Galliformes","Odontophoridae",22724748,"Match by ID"
22724754,"Otus beccarii","Strigiformes","Strigidae","NT","Otus beccarii","Strigiformes","Strigidae",22724754,"Match by ID"
22724765,"Myrmornis stictoptera","Passeriformes","Thamnophilidae","LC","Myrmornis stictoptera","Passeriformes","Thamnophilidae",22724765,"Match by ID"
22724769,"Microeca tormenti","Passeriformes","Petroicidae","LC","Microeca tormenti","Passeriformes","Petroicidae",22724769,"Match by ID"
22724773,"Phibalura flavirostris","Passeriformes","Cotingidae","LC","Phibalura flavirostris","Passeriformes","Cotingidae",22724773,"Match by ID"
22724784,"Phibalura boliviana","Passeriformes","Cotingidae","EN","Phibalura boliviana","Passeriformes","Cotingidae",22724784,"Match by ID"
22724793,"Setophaga dominica","Passeriformes","Parulidae","LC","Setophaga dominica","Passeriformes","Parulidae",22724793,"Match by ID"
22724802,"Setophaga flavescens","Passeriformes","Parulidae","EN","Setophaga flavescens","Passeriformes","Parulidae",22724802,"Match by ID"
22724813,"Psittacus erithacus","Psittaciformes","Psittacidae","EN","Psittacus erithacus","Psittaciformes","Psittacidae",22724813,"Match by ID"
22724829,"Cissa jefferyi","Passeriformes","Corvidae","LC","Cissa jefferyi","Passeriformes","Corvidae",22724829,"Match by ID"
22724836,"Melanitta fusca","Anseriformes","Anatidae","VU","Melanitta fusca","Anseriformes","Anatidae",22724836,"Match by ID"
22724845,"Melanitta stejnegeri","Anseriformes","Anatidae","LC","Melanitta stejnegeri","Anseriformes","Anatidae",22724845,"Match by ID"
22724857,"Sipia laemosticta","Passeriformes","Thamnophilidae","LC","Sipia laemosticta","Passeriformes","Thamnophilidae",22724857,"Match by ID"
22724868,"Sipia palliata","Passeriformes","Thamnophilidae","NT","Sipia palliata","Passeriformes","Thamnophilidae",22724868,"Match by ID"
22724879,"Melanitta nigra","Anseriformes","Anatidae","LC","Melanitta nigra","Anseriformes","Anatidae",22724879,"Match by ID"
22724887,"Arremon atricapillus","Passeriformes","Passerellidae","LC","Arremon atricapillus","Passeriformes","Passerellidae",22724887,"Match by ID"
22724893,"Arremon basilicus","Passeriformes","Passerellidae","NT","Arremon basilicus","Passeriformes","Passerellidae",22724893,"Match by ID"
22724899,"Arremon perijanus","Passeriformes","Passerellidae","LC","Arremon perijanus","Passeriformes","Passerellidae",22724899,"Match by ID"
22724905,"Arremon assimilis","Passeriformes","Passerellidae","LC","Arremon assimilis","Passeriformes","Passerellidae",22724905,"Match by ID"
22724911,"Arremon phaeopleurus","Passeriformes","Passerellidae","LC","Arremon phaeopleurus","Passeriformes","Passerellidae",22724911,"Match by ID"
22724917,"Arremon phygas","Passeriformes","Passerellidae","VU","Arremon phygas","Passeriformes","Passerellidae",22724917,"Match by ID"
22724923,"Arremon costaricensis","Passeriformes","Passerellidae","LC","Arremon costaricensis","Passeriformes","Passerellidae",22724923,"Match by ID"
22724941,"Willisornis vidua","Passeriformes","Thamnophilidae","LC","Willisornis vidua","Passeriformes","Thamnophilidae",22724941,"Match by ID"
22724947,"Sporophila pileata","Passeriformes","Thraupidae","LC","Sporophila pileata","Passeriformes","Thraupidae",22724947,"Match by ID"
22724961,"Aphelocoma ultramarina","Passeriformes","Corvidae","LC","Aphelocoma ultramarina","Passeriformes","Corvidae",22724961,"Match by ID"
22724967,"Aphelocoma wollweberi","Passeriformes","Corvidae","LC","Aphelocoma wollweberi","Passeriformes","Corvidae",22724967,"Match by ID"
22724980,"Mentocrex beankaensis","Gruiformes","Rallidae","VU","Mentocrex beankaensis","Gruiformes","Rallidae",22724980,"Match by ID"
22724986,"Grallaricula nana","Passeriformes","Grallariidae","LC","Grallaricula nana","Passeriformes","Grallariidae",22724986,"Match by ID"
22724997,"Apus horus","Caprimulgiformes","Apodidae","LC","Apus horus","Caprimulgiformes","Apodidae",22724997,"Match by ID"
22725006,"Argusianus argus","Galliformes","Phasianidae","VU","Argusianus argus","Galliformes","Phasianidae",22725006,"Match by ID"
22725015,"Picus sharpei","Piciformes","Picidae","LC","Picus sharpei","Piciformes","Picidae",22725015,"Match by ID"
22725022,"Picus viridis","Piciformes","Picidae","LC","Picus viridis","Piciformes","Picidae",22725022,"Match by ID"
22725033,"Charadrius nivosus","Charadriiformes","Charadriidae","NT","Charadrius nivosus","Charadriiformes","Charadriidae",22725033,"Match by ID"
22725044,"Acanthis flammea","Passeriformes","Fringillidae","LC","Acanthis flammea","Passeriformes","Fringillidae",22725044,"Match by ID"
